Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_median,Median_W_median,Median_diff_median,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Parus_rufonuchalis,Rufous-naped Tit,3200.65,3322.6,-116,2645,2600.5,47,1662.95,1609.55,26.2,1537.7,-0.036242638,0.017769376,0.015755134
Prinia_hodgsonii,Gray-breasted Prinia,1498,1542.7,-44.85,665.5,658.5,10,272,272,0,1226,-0.02993992,0.015026296,0
Turdoides_striata,Jungle Babbler,1486.45,1521.6,-35.325,638,631,11,272,272,0,1214.45,-0.023764674,0.017241379,0
Psittacula_alexandri,Red-breasted Parakeet,656.25,668.8,-15.275,434,442,-17.5,354,354,0.15,302.25,-0.02327619,-0.040322581,0.000423729
Amandava_amandava,Red Avadavat,617,657.7,-13.45,275.25,364.5,-62.25,267.5,234.6,33.625,349.5,-0.021799028,-0.226158038,0.125700935
Lonchura_punctulata,Scaly-breasted Munia,1522.7,1550,-28,602,602,-1,272,272,0,1250.7,-0.018388389,-0.00166113,0
Garrulax_lineatus,Streaked Laughingthrush,2738,2788,-50,1947,1952,-4,1214,1219,-7,1524,-0.018261505,-0.002054443,-0.005766063
Garrulax_leucolophus,White-crested Laughingthrush,1710.3,1716.6,-29.6,1014.5,1056,-34.5,381,392.125,-10.5,1329.3,-0.017306905,-0.0340069,-0.027559055
Hemipus_picatus,Bar-winged Flycatcher-shrike,1570,1576.8,-24.9,616,602,14,365.75,353.175,16.4,1204.25,-0.015859873,0.022727273,0.044839371
Corvus_splendens,House Crow,1789,1810,-21,580,580,0,272,267,5,1517,-0.011738401,0,0.018382353
Dinopium_shorii,Himalayan Flameback,665.85,666,-6.75,421,579,-143.5,334,343.35,-7.15,331.85,-0.010137418,-0.340855107,-0.021407186
Corvus_corone,Carrion Crow,3653.6,3679,-30.25,3240,3237,3,2852.55,2764.9,122,801.05,-0.008279505,0.000925926,0.042768751
