Tree.name,GENUS,SPECIFICC,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Median_S_median,Median_W_median,Median_diff_median,Median_S_upper,Median_W_upper,Median_diff_upper,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Ninox_scutulata,Ninox,scutulata,Brown Boobook,326.95,311.6,11.25,492,600.5,-109,861,932.25,-78.95,534.05,-0.091695703,-0.221544715,0.034408931
Orthotomus_sutorius,Orthotomus,sutorius,Common Tailorbird,272,272,0,602,602,0,1071.4,1159.7,-84.55,799.4,-0.078915438,0,0
Cissa_chinensis,Cissa,chinensis,Common Green-Magpie,376.5,389.05,-12.55,867,1248,-381,1462.35,1565.6,-103.25,1085.85,-0.070605532,-0.439446367,-0.033333333
Mulleripicus_pulverulentus,Mulleripicus,pulverulentus,Great Slaty Woodpecker,348.5,354,-11.35,388,388,0,630,693.25,-39.3,281.5,-0.062380952,0,-0.032568149
Ketupa_zeylonensis,Ketupa,zeylonensis,Brown Fish-Owl,286.5,350.1,-63.6,1000.5,1237,-25.5,1614.225,1721,-78.525,1327.725,-0.048645635,-0.025487256,-0.221989529
Corvus_splendens,Corvus,splendens,House Crow,272,267,5,580,580,0,1727.45,1810,-69,1455.45,-0.039943269,0,0.018382353
Pycnonotus_jocosus,Pycnonotus,jocosus,Red-whiskered Bulbul,272,265.55,6.4,409,409,0,791,827,-31.2,519,-0.039443742,0,0.023529412
Turdoides_striata,Turdoides,striata,Jungle Babbler,272,272,0,638,616,22,1428.4,1466,-42.05,1156.4,-0.029438533,0.034482759,0
Ocyceros_birostris,Ocyceros,birostris,Indian Gray Hornbill,272,272,0,602,602,0,861,894.25,-25.25,589,-0.029326365,0,0
Gallus_gallus,Gallus,gallus,Red Junglefowl,272,279,-7,469.5,602,-132.5,1504,1542.05,-42.25,1232,-0.028091755,-0.282215122,-0.025735294
Parus_rufonuchalis,Parus,rufonuchalis,Rufous-naped Tit,1643,1603.5,29.5,2630,2542,96.5,3201.8,3290.2,-69.2,1558.8,-0.021612843,0.036692015,0.01795496
