"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Red Junglefowl",0,272,272,272,284.5,272,304.9525,-12.5,-32.9525,0
"Scaly-breasted Munia",0,272,272,272,272,262,272,0,-1.05125000000001,10
"White-throated Fantail",2,591,565,599,287.05,275.5,303.5,297.9,269.04875,316.205
"Ashy Prinia",0,272,272,272,263,262,272,9,0,10
"Asian Koel",0,272,272,272,272.85,262,301,-0.850000000000023,-29,10
"Greater Coucal",2,283.5,272,294,262,256.8475,262,21.9,10,32
"Indian Gray Hornbill",0,272,272,272,272,272,272,0,0,0
"Hill Partridge",0,1580,1580,1580,1573,1518.2,1657.25,8.55000000000018,-77.25,62.8499999999999
"Chestnut-bellied Rock-Thrush",2,1255.9,1254.45,1345.61,599.75,491,669.00125,660.975,587.49625,779.125
"Himalayan Rubythroat",2,1300,1276.4,1539.165,403,387.49,480.5475,897,795.8525,1145.1725
"Hume's Warbler",2,1332.7,1208.7575,1573.2075,272,272,272,1060.7,936.7575,1301.2075
"Pink-browed Rosefinch",2,1773.4,1646.5,1862,1255,1235.995,1266.7075,520.825,390.595,617
"Rufous-breasted Accentor",2,1369,1369,1369,1159.6,900.87,1227,209.4,142,468.13
"Rosy Pipit",2,1580,1580,1722.25375,256.9,245,276.2,1327.325,1305.985,1459.2175
"Buff-barred Warbler",2,1562.35,1514.65,1893.18,1257,1215,1332,323.5,218.86,613.97
"Chestnut-tailed Minla",2,1609,1472.4,1986,1293.25,1209.2,1533.22,332.475,73.5049999999999,706.43375
"Fulvous-breasted Woodpecker",0,425.2,330.95,440,372,328.2,388.3025,48,-45.12375,93.6224999999999
"Gray-capped Pygmy Woodpecker",0,386,372,388,372,352.7,388,13.8249999999999,-6.41249999999998,33.3025
"Rusty-cheeked Scimitar-Babbler",0,591,591,602,591,591,602,0,-11,9.20000000000005
"Small Minivet",2,272,272,284.80125,245,245,268.75,27,4.74375,39.3
